example,label
"Seller: Hello Buyer: Wow love the Couch. SO lovely and it appears to really be in a good condition. May i know why you want to sell it? Seller: It is in great condition but we have changed the decor in the living room and it doesn't really fit with the new style. Buyer: Oh i see. Can i have for $700 Seller: Um...no... The price in the listing should say $1495. It is microfiber which holds up very well. Buyer: Oh i see. I can step up to $1000 cash payment. Logistics will be arranged by me. Deal? Seller: Like I said the couch is in good condition, has quality material and is a sectional with many pieces.  Buyer: Not a priority for me but will love to have it and my budget is $1000. I can add $100 more. That is the best i can offer Deal? Buyer:  Seller: Sorry, negotiating does not mean just continuing to spam lower numbers. I would like to work with you but you haven't really given me any reason to lower the price. Sorry. Seller: ",furniture
"Seller: I am selling this for $28500. Buyer: I want to buy the car, but for $16000 cash  Seller: how about $23500? Buyer: $18500 Seller: sure Buyer: Thanks I will take it Seller:  Buyer: ",car
"Buyer: I'd like to negotiate a lower price for this apartment. Seller: I'm glad you are interested. It's a great apartment complex. Buyer: I want a one bedroom but I can only afford 1,200 for the next 3 months because I recently lost my job. Seller: How would you feel about a 1 bedroom with a walk-in pantry, which usually costs extra, for $1300? Buyer: I don't need anything extravagant. It's just going to be me and a walk in pantry isn't necessary.  Seller: Okay, that's understandable.  Being that the list price is $1861, it's hard for me to go much lower. Maybe $1275? Buyer: We can do 1275! Thank you! Buyer:  Seller: ",housing
"Seller: Hi!  Are you interested in my headphones? Buyer: I am. I was going to offer around 100 dollars for them. Will that do the trick? Seller: I'd really like to get a bit more.  I only used them twice, and they're in like-new condition.  Could you do maybe $120? Buyer: Sure, that sounds great! Seller: Awesome.  It's a deal! Seller:  Buyer: ",electronics
"Seller: Hi. Were you interested in the mirror? Buyer: Hi, I like this mirror. Can you tell me about how tall and wide it is? Seller: It is a 3'x5' mirror. The top edge is 2"" but the depth is 1"". Buyer: Are there any cracks in the wood? Seller: Oh no. It is perfect. Very high quality made using sustainable practices, Buyer: Would you be willing to take $120? I can come pick it up today! Seller: I was hoping for a little more, but if you can be here today, it is all yours! Buyer:  Seller: ",furniture
"Buyer: i'm very interested in the apt.  Seller:  Buyer: um we have to negotiate the price.  Seller: I had trouble finding the text box. Buyer: you found it. now i'll tell you what. i'll sign a 6 mo lease if you let me have it for say... 2250. what do you say?  Seller: Well that is way below asking price. This includes all utilities, gas, water, trash. And there is even a den that could be used as a third room Buyer: ok. how's this. i'll sign a one year lease, and we go with 2500 even   Seller: I already submitted the final agreement which was 2750, and I can only enter the offer once. Buyer: oh yeah. well i guess we'll have to rejct it call it the HIT. i'll reject nbot sure if it will be accepted though we'll have to see.  Buyer: ",housing
"Seller: Hello, are you interested in these apartments? Buyer: Hello. Yes I am. How many bedrooms? Seller: Most of our available units have 3 bedrooms. There are a limited number of singles available. Buyer: Thanks. How many baths in the 3 bedroom apartments? Seller: They have 2 full baths, with nice soaking tubs and a shower in them. Buyer: Great. Would you accept $975? Seller: These are newly rennovated and I cannot go that low. Could you do $1500? Buyer: I'm sorry, but I can't do $1500. Would $1200 work for you? Seller: I could do $1300, but cannot go any lower for these! Buyer: That will work. Buyer:  Seller: ",housing
"Seller: all american made dresser. hard to see one of these nowadays  Buyer: Are there any scratches on this? Seller: there are a couple of minro scratches and one ring on top, but hardly noticeable.  Buyer: Okay. And do all of the drawers open? Seller: of course. it's in a great shape. the ring will be gone by the time you get it.  Buyer: Nice. Would you drop down to $350? Seller: nah. can't do that low. at the lowest, it will be 375, and i'll give you the remedy for the ring and you fix it yourself.  Buyer: Okay I can do that.  Seller: sounds good. deal  Seller:  Buyer: ",furniture
"Seller: Hi are you interested in the rooms for rent? Buyer: Yes, how big are they? Seller: They are just under 200 sq ft. Newly remodeled. Fully furnished. They are quiet and clean. Buyer: I need if for a year as I am in school nearby. It says WIFI is included, how fast does it run? Seller: It runs very fast I have not had any complaints Buyer: Interesting. I'll have to try it out. Well for a broke college, is there any chance you could give me a deal? I can offer you $990. Seller: I could do 1000. Buyer: Sure, why not. That sounds like a deal to me. Seller: Great! Seller:  Buyer: ",housing
"Seller: Greetings, are you interested in the apartment? I'd like to offer this for $2600.  Buyer: I'm interested, but I would like to know a bit more.  Is it in a complex?  What amenities are available?",housing
